# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.996988e-01  -1.000000e+00  8.533272e-01  1.380188e-01  8.653978e-03  2.204836e-02  3.870526e-02  9.392464e-01  1.246244e-01  8.232760e-01  5.209964e-02
2.014328e-01  -1.000000e+00  8.929215e-01  7.869121e-02  2.838726e-02  8.198811e-02  9.177153e-01  2.965647e-04  2.509036e-02  3.593466e-03  9.713162e-01
2.031818e-01  -1.000000e+00  8.820405e-01  9.874472e-02  1.921478e-02  6.809596e-03  4.775353e-02  9.454369e-01  1.111499e-01  8.535017e-01  3.534835e-02
2.049460e-01  -1.000000e+00  8.710162e-01  1.119039e-01  1.707987e-02  8.891168e-02  8.512203e-01  5.986806e-02  4.007209e-02  3.687584e-02  9.230521e-01
2.067256e-01  -1.000000e+00  9.056923e-01  6.700105e-02  2.730668e-02  3.350135e-03  1.516951e-01  8.449547e-01  9.095759e-02  7.813038e-01  1.277386e-01
2.085206e-01  -1.000000e+00  8.560591e-01  1.345883e-01  9.352639e-03  8.703987e-02  7.323501e-01  1.806101e-01  5.690107e-02  1.330616e-01  8.100373e-01
2.103312e-01  -1.000000e+00  9.212816e-01  4.692680e-02  3.179156e-02  5.954982e-03  2.724011e-01  7.216439e-01  7.276338e-02  6.806721e-01  2.465646e-01
2.121575e-01  -1.000000e+00  8.483724e-01  1.465232e-01  5.104336e-03  8.197395e-02  6.230541e-01  2.949719e-01  6.965362e-02  2.304226e-01  6.999237e-01
2.139996e-01  -1.000000e+00  9.302243e-01  3.631666e-02  3.345906e-02  9.752664e-03  3.654099e-01  6.248375e-01  6.002305e-02  5.982735e-01  3.417035e-01
2.158578e-01  -1.000000e+00  8.457573e-01  1.510108e-01  3.231927e-03  7.754431e-02  5.523779e-01  3.700777e-01  7.669844e-02  2.966112e-01  6.266903e-01
2.177321e-01  -1.000000e+00  9.349151e-01  3.167840e-02  3.340649e-02  1.193933e-02  4.135930e-01  5.744677e-01  5.314556e-02  5.547286e-01  3.921258e-01
2.196226e-01  -1.000000e+00  8.461398e-01  1.510720e-01  2.788206e-03  7.559740e-02  5.292659e-01  3.951367e-01  7.826284e-02  3.196621e-01  6.020751e-01
2.215296e-01  -1.000000e+00  9.369017e-01  3.078673e-02  3.231155e-02  1.144864e-02  4.130687e-01  5.754827e-01  5.164964e-02  5.561446e-01  3.922057e-01
2.234532e-01  -1.000000e+00  8.487063e-01  1.479243e-01  3.369437e-03  7.651256e-02  5.547554e-01  3.687320e-01  7.478117e-02  2.973203e-01  6.278985e-01
2.253934e-01  -1.000000e+00  9.362687e-01  3.344634e-02  3.028492e-02  8.480980e-03  3.645466e-01  6.269724e-01  5.525028e-02  6.020071e-01  3.427427e-01
2.273505e-01  -1.000000e+00  8.541499e-01  1.407486e-01  5.101496e-03  7.949993e-02  6.264335e-01  2.940666e-01  6.635017e-02  2.328179e-01  7.008319e-01
2.293246e-01  -1.000000e+00  9.316699e-01  4.133444e-02  2.699565e-02  4.419691e-03  2.731657e-01  7.224146e-01  6.391040e-02  6.854998e-01  2.505898e-01
2.313158e-01  -1.000000e+00  8.643795e-01  1.271982e-01  8.422330e-03  8.249674e-02  7.345415e-01  1.829618e-01  5.312380e-02  1.382603e-01  8.086159e-01
2.333243e-01  -1.000000e+00  9.209263e-01  5.709003e-02  2.198367e-02  2.034507e-03  1.559140e-01  8.420515e-01  7.703919e-02  7.869960e-01  1.359648e-01
2.353502e-01  -1.000000e+00  8.815183e-01  1.048230e-01  1.365874e-02  8.200985e-02  8.519976e-01  6.599258e-02  3.647188e-02  4.317945e-02  9.203487e-01
2.373938e-01  -1.000000e+00  9.025434e-01  8.225010e-02  1.520649e-02  5.389127e-03  5.250671e-02  9.421042e-01  9.206746e-02  8.652432e-01  4.268935e-02
2.394551e-01  -1.000000e+00  9.057941e-01  7.384271e-02  2.036320e-02  7.370876e-02  9.252450e-01  1.046202e-03  2.049715e-02  9.122568e-04  9.785906e-01
2.415343e-01  -1.000000e+00  8.783847e-01  1.138449e-01  7.770410e-03  1.848091e-02  2.904669e-02  9.524724e-01  1.031344e-01  8.571084e-01  3.975719e-02
2.436315e-01  -1.000000e+00  9.325279e-01  4.084874e-02  2.662336e-02  5.477024e-02  8.808465e-01  6.438322e-02  1.270186e-02  7.830472e-02  9.089934e-01
2.457469e-01  -1.000000e+00  8.565138e-01  1.410881e-01  2.398042e-03  4.184735e-02  1.561042e-01  8.020485e-01  1.016388e-01  7.028077e-01  1.955535e-01
2.478808e-01  -1.000000e+00  9.503001e-01  2.063383e-02  2.906605e-02  2.809543e-02  6.666644e-01  3.052402e-01  2.160444e-02  3.127018e-01  6.656938e-01
2.500331e-01  -1.000000e+00  8.508874e-01  1.464378e-01  2.674767e-03  6.818042e-02  4.477349e-01  4.840847e-01  8.093214e-02  4.058273e-01  5.132406e-01
2.522041e-01  -1.000000e+00  9.446358e-01  3.077751e-02  2.458665e-02  5.692480e-03  3.270079e-01  6.672997e-01  4.967168e-02  6.422146e-01  3.081137e-01
2.543940e-01  -1.000000e+00  8.733398e-01  1.163696e-01  1.029066e-02  8.157766e-02  7.864856e-01  1.319367e-01  4.508258e-02  9.714478e-02  8.577726e-01
2.566029e-01  -1.000000e+00  9.104373e-01  7.569301e-02  1.386974e-02  4.998207e-03  5.367684e-02  9.413249e-01  8.456454e-02  8.706302e-01  4.480531e-02
2.588310e-01  -1.000000e+00  9.181790e-01  6.036156e-02  2.145941e-02  6.700233e-02  9.268282e-01  6.169425e-03  1.481864e-02  1.281019e-02  9.723712e-01
2.610784e-01  -1.000000e+00  8.668878e-01  1.292312e-01  3.881008e-03  3.358588e-02  9.871929e-02  8.676948e-01  9.952635e-02  7.720495e-01  1.284242e-01
2.633454e-01  -1.000000e+00  9.532126e-01  1.986126e-02  2.692618e-02  2.923832e-02  6.809970e-01  2.897646e-01  1.754912e-02  2.991417e-01  6.833092e-01
2.656320e-01  -1.000000e+00  8.541511e-01  1.417213e-01  4.127640e-03  7.146889e-02  5.059799e-01  4.225513e-01  7.438004e-02  3.522989e-01  5.733211e-01
2.679385e-01  -1.000000e+00  9.403467e-01  3.982064e-02  1.983264e-02  2.082824e-03  2.105520e-01  7.873651e-01  5.757046e-02  7.496273e-01  1.928022e-01
2.702650e-01  -1.000000e+00  8.949350e-01  8.926604e-02  1.579892e-02  7.808707e-02  8.991525e-01  2.276046e-02  2.697789e-02  1.158149e-02  9.614406e-01
2.726117e-01  -1.000000e+00  8.848811e-01  1.085622e-01  6.556650e-03  2.047692e-02  3.567843e-02  9.438446e-01  9.464195e-02  8.557594e-01  4.959870e-02
2.749787e-01  -1.000000e+00  9.499232e-01  2.463689e-02  2.543994e-02  3.871379e-02  7.695623e-01  1.917239e-01  1.136305e-02  2.058008e-01  7.828361e-01
2.773664e-01  -1.000000e+00  8.540308e-01  1.419682e-01  4.001064e-03  6.781300e-02  4.491201e-01  4.830669e-01  7.815622e-02  4.089118e-01  5.129320e-01
2.797747e-01  -1.000000e+00  9.444874e-01  3.658815e-02  1.892447e-02  2.183496e-03  2.161271e-01  7.816894e-01  5.332912e-02  7.472847e-01  1.993861e-01
2.822040e-01  -1.000000e+00  8.993758e-01  8.383137e-02  1.679279e-02  7.678339e-02  9.119476e-01  1.126898e-02  2.384077e-02  4.221003e-03  9.719382e-01
2.846544e-01  -1.000000e+00  8.788679e-01  1.160724e-01  5.059705e-03  2.741122e-02  6.603541e-02  9.065534e-01  9.372087e-02  8.178922e-01  8.838693e-02
2.871260e-01  -1.000000e+00  9.577256e-01  1.773504e-02  2.453935e-02  2.715315e-02  6.506732e-01  3.221736e-01  1.512124e-02  3.315917e-01  6.532870e-01
2.896192e-01  -1.000000e+00  8.604201e-01  1.321909e-01  7.388972e-03  7.789176e-02  6.330822e-01  2.890260e-01  6.168811e-02  2.347269e-01  7.035850e-01
2.921339e-01  -1.000000e+00  9.255804e-01  6.177611e-02  1.264353e-02  3.485302e-03  6.603142e-02  9.304833e-01  7.093434e-02  8.721925e-01  5.687319e-02
2.946705e-01  -1.000000e+00  9.308344e-01  4.714054e-02  2.202505e-02  5.961292e-02  8.997705e-01  4.061655e-02  9.552668e-03  5.308893e-02  9.373584e-01
2.972291e-01  -1.000000e+00  8.581264e-01  1.380900e-01  3.783556e-03  5.579425e-02  2.978910e-01  6.463148e-01  8.607933e-02  5.640190e-01  3.499017e-01
2.998100e-01  -1.000000e+00  9.552206e-01  2.579056e-02  1.898887e-02  4.378863e-03  2.855848e-01  7.100364e-01  4.040058e-02  6.886247e-01  2.709747e-01
3.024132e-01  -1.000000e+00  8.973550e-01  8.582147e-02  1.682356e-02  7.807344e-02  9.091631e-01  1.276346e-02  2.457159e-02  5.015430e-03  9.704130e-01
3.050391e-01  -1.000000e+00  8.771376e-01  1.183269e-01  4.535516e-03  3.263391e-02  9.943142e-02  8.679347e-01  9.022848e-02  7.822417e-01  1.275298e-01
3.076877e-01  -1.000000e+00  9.629665e-01  1.504263e-02  2.199084e-02  1.715104e-02  5.134845e-01  4.693644e-01  1.988243e-02  4.714729e-01  5.086447e-01
3.103593e-01  -1.000000e+00  8.749760e-01  1.123831e-01  1.264088e-02  8.276635e-02  8.076392e-01  1.095945e-01  4.225762e-02  7.997774e-02  8.777646e-01
3.130542e-01  -1.000000e+00  8.984174e-01  9.503653e-02  6.546065e-03  1.773962e-02  3.093302e-02  9.513274e-01  8.384297e-02  8.740305e-01  4.212658e-02
3.157724e-01  -1.000000e+00  9.596651e-01  1.758756e-02  2.274729e-02  2.989352e-02  6.622475e-01  3.078590e-01  1.044134e-02  3.201649e-01  6.693937e-01
3.185143e-01  -1.000000e+00  8.645217e-01  1.250813e-01  1.039702e-02  8.137830e-02  7.075930e-01  2.110287e-01  5.410003e-02  1.673257e-01  7.785743e-01
3.212799e-01  -1.000000e+00  9.128509e-01  7.917853e-02  7.970572e-03  1.075593e-02  2.315094e-02  9.660931e-01  7.639317e-02  8.976705e-01  2.593630e-02
3.240696e-01  -1.000000e+00  9.554263e-01  2.191710e-02  2.265656e-02  3.734451e-02  7.294523e-01  2.332032e-01  7.229146e-03  2.486306e-01  7.441403e-01
3.268835e-01  -1.000000e+00  8.612672e-01  1.288929e-01  9.839917e-03  7.996154e-02  6.605779e-01  2.594606e-01  5.877127e-02  2.105292e-01  7.306995e-01
3.297218e-01  -1.000000e+00  9.184077e-01  7.338565e-02  8.206644e-03  9.004025e-03  2.509263e-02  9.659033e-01  7.258826e-02  9.015217e-01  2.589001e-02
3.325848e-01  -1.000000e+00  9.553076e-01  2.231481e-02  2.237755e-02  3.823793e-02  7.312586e-01  2.305035e-01  6.454428e-03  2.464266e-01  7.471190e-01
3.354726e-01  -1.000000e+00  8.619939e-01  1.273070e-01  1.069916e-02  8.100496e-02  6.796297e-01  2.393654e-01  5.700115e-02  1.930634e-01  7.499355e-01
3.383855e-01  -1.000000e+00  9.150931e-01  7.758667e-02  7.320213e-03  1.136303e-02  2.289218e-02  9.657448e-01  7.354386e-02  8.995212e-01  2.693499e-02
3.413237e-01  -1.000000e+00  9.601009e-01  1.812900e-02  2.177008e-02  3.256192e-02  6.702670e-01  2.971711e-01  7.337160e-03  3.116040e-01  6.810588e-01
3.442874e-01  -1.000000e+00  8.671290e-01  1.199097e-01  1.296131e-02  8.379274e-02  7.576380e-01  1.585693e-01  4.907825e-02  1.224523e-01  8.284694e-01
3.472769e-01  -1.000000e+00  9.029365e-01  9.119736e-02  5.866168e-03  1.909854e-02  3.847044e-02  9.424310e-01  7.796498e-02  8.703322e-01  5.170282e-02
3.502923e-01  -1.000000e+00  9.668417e-01  1.307262e-02  2.008566e-02  2.120626e-02  5.353712e-01  4.434226e-01  1.195202e-02  4.515562e-01  5.364918e-01
3.533338e-01  -1.000000e+00  8.803545e-01  1.031236e-01  1.652188e-02  8.447851e-02  8.629526e-01  5.256887e-02  3.516702e-02  3.392374e-02  9.309092e-01
3.564018e-01  -1.000000e+00  8.834575e-01  1.114779e-01  5.064549e-03  3.463585e-02  1.229111e-01  8.424530e-01  8.190662e-02  7.656110e-01  1.524824e-01
3.594965e-01  -1.000000e+00  9.682119e-01  1.535369e-02  1.643443e-02  7.863856e-03  3.278060e-01  6.643301e-01  2.392427e-02  6.568403e-01  3.192355e-01
3.626180e-01  -1.000000e+00  9.057384e-01  7.384545e-02  2.041613e-02  7.649070e-02  9.224145e-01  1.094840e-03  1.777088e-02  3.740098e-03  9.784890e-01
3.657666e-01  -1.000000e+00  8.636773e-01  1.295636e-01  6.759128e-03  5.789383e-02  3.293033e-01  6.128029e-01  7.842887e-02  5.411331e-01  3.804380e-01
3.689425e-01  -1.000000e+00  9.536507e-01  3.545425e-02  1.089503e-02  1.407051e-03  1.082865e-01  8.903064e-01  4.494223e-02  8.562592e-01  9.879853e-02
3.721460e-01  -1.000000e+00  9.409842e-01  3.682775e-02  2.218807e-02  5.416639e-02  8.275021e-01  1.183315e-01  4.849429e-03  1.356701e-01  8.594805e-01
3.753774e-01  -1.000000e+00  8.589621e-01  1.288137e-01  1.222416e-02  8.062413e-02  6.428156e-01  2.765603e-01  6.041374e-02  2.283707e-01  7.112156e-01
3.786368e-01  -1.000000e+00  9.172136e-01  7.677250e-02  6.013944e-03  1.399074e-02  2.722896e-02  9.587803e-01  6.879571e-02  8.959985e-01  3.520575e-02
