# E[GeV]  cos_zenith  Pee  Pemu  Petau  Pmue  Pmumu  Pmutau  Ptaue  Ptaumu  Ptautau
1.694479e-01  -1.000000e+00  7.653832e-01  1.836703e-01  5.094651e-02  1.172142e-01  6.897090e-01  1.930768e-01  1.174026e-01  1.266207e-01  7.559767e-01
1.709193e-01  -1.000000e+00  8.024586e-01  6.034371e-02  1.371977e-01  9.520052e-02  9.714069e-02  8.076588e-01  1.023409e-01  8.425156e-01  5.514348e-02
1.724033e-01  -1.000000e+00  7.401223e-01  8.698690e-02  1.728908e-01  2.332986e-01  3.114854e-01  4.552160e-01  2.657909e-02  6.015277e-01  3.718932e-01
1.739003e-01  -1.000000e+00  7.291170e-01  1.958202e-01  7.506275e-02  2.024071e-01  7.945697e-01  3.023181e-03  6.847582e-02  9.610110e-03  9.219141e-01
1.754103e-01  -1.000000e+00  7.941925e-01  1.456715e-01  6.013608e-02  7.664941e-02  4.664505e-01  4.569001e-01  1.291581e-01  3.878780e-01  4.829638e-01
1.769334e-01  -1.000000e+00  8.033635e-01  4.793126e-02  1.487053e-01  1.139760e-01  5.179373e-02  8.342302e-01  8.266050e-02  9.002750e-01  1.706449e-02
1.784697e-01  -1.000000e+00  7.464615e-01  9.081017e-02  1.627283e-01  2.293034e-01  3.541391e-01  4.165575e-01  2.423507e-02  5.550508e-01  4.207142e-01
1.800193e-01  -1.000000e+00  7.307276e-01  1.876121e-01  8.166031e-02  2.124988e-01  7.814402e-01  6.061019e-03  5.677363e-02  3.094770e-02  9.122787e-01
1.815824e-01  -1.000000e+00  7.814041e-01  1.759772e-01  4.261870e-02  1.006590e-01  6.195239e-01  2.798172e-01  1.179369e-01  2.044990e-01  6.775641e-01
1.831591e-01  -1.000000e+00  8.207485e-01  8.293711e-02  9.631444e-02  6.694050e-02  1.671188e-01  7.659407e-01  1.123110e-01  7.499441e-01  1.377448e-01
1.847495e-01  -1.000000e+00  7.995148e-01  4.333592e-02  1.571493e-01  1.465460e-01  8.040798e-02  7.730460e-01  5.393920e-02  8.762561e-01  6.980470e-02
1.863537e-01  -1.000000e+00  7.529381e-01  9.964543e-02  1.474164e-01  2.261884e-01  4.300041e-01  3.438075e-01  2.087344e-02  4.703505e-01  5.087760e-01
1.879718e-01  -1.000000e+00  7.383103e-01  1.760429e-01  8.564677e-02  2.154806e-01  7.664578e-01  1.806158e-02  4.620901e-02  5.749934e-02  8.962917e-01
1.896039e-01  -1.000000e+00  7.685798e-01  1.918761e-01  3.954409e-02  1.361880e-01  7.464255e-01  1.173865e-01  9.523218e-02  6.169843e-02  8.430694e-01
1.912502e-01  -1.000000e+00  8.126334e-01  1.408922e-01  4.647432e-02  6.824509e-02  4.372602e-01  4.944947e-01  1.191215e-01  4.218476e-01  4.590310e-01
1.929109e-01  -1.000000e+00  8.352947e-01  7.377507e-02  9.093019e-02  6.272823e-02  1.333378e-01  8.039340e-01  1.019770e-01  7.928872e-01  1.051358e-01
1.945859e-01  -1.000000e+00  8.257192e-01  4.010318e-02  1.341777e-01  1.118398e-01  5.155638e-02  8.366038e-01  6.244103e-02  9.083404e-01  2.921853e-02
1.962755e-01  -1.000000e+00  7.966867e-01  5.410293e-02  1.492103e-01  1.746876e-01  2.048811e-01  6.204313e-01  2.862565e-02  7.410160e-01  2.303584e-01
1.979798e-01  -1.000000e+00  7.683622e-01  9.851801e-02  1.331198e-01  2.146238e-01  4.668931e-01  3.184831e-01  1.701401e-02  4.345889e-01  5.483971e-01
1.996988e-01  -1.000000e+00  7.544622e-01  1.461531e-01  9.938470e-02  2.178693e-01  6.948384e-01  8.729230e-02  2.766854e-02  1.590085e-01  8.133230e-01
2.014328e-01  -1.000000e+00  7.580409e-01  1.773712e-01  6.458786e-02  1.911794e-01  8.074046e-01  1.416002e-03  5.077969e-02  1.522417e-02  9.339961e-01
2.031818e-01  -1.000000e+00  7.745011e-01  1.857395e-01  3.975942e-02  1.502939e-01  7.958502e-01  5.385591e-02  7.520495e-02  1.841038e-02  9.063847e-01
